,City,month,test_type,count
355,North Dakota,11,positive,1869502.0
356,North Dakota,12,positive,484600.0
357,Ohio,3,positive,33010.0
358,Ohio,4,positive,271328.0
359,Ohio,5,positive,829978.0
360,Ohio,6,positive,1263717.0
361,Ohio,7,positive,2164746.0
362,Ohio,8,positive,3311529.0
363,Ohio,9,positive,4159568.0
364,Ohio,10,positive,5529460.0
365,Ohio,11,positive,9028451.0
366,Ohio,12,positive,2660328.0
367,Oklahoma,3,positive,70378.0
368,Oklahoma,4,positive,64836.0
369,Oklahoma,5,positive,157613.0
370,Oklahoma,6,positive,270267.0
371,Oklahoma,7,positive,715656.0
372,Oklahoma,8,positive,1470457.0
373,Oklahoma,9,positive,2149323.0
374,Oklahoma,10,positive,3228654.0
375,Oklahoma,11,positive,4630976.0
376,Oklahoma,12,positive,1225736.0
377,Oregon,3,positive,447636.0
378,Oregon,4,positive,48504.0
379,Oregon,5,positive,106672.0
380,Oregon,6,positive,179416.0
381,Oregon,7,positive,410322.0
382,Oregon,8,positive,705079.0
383,Oregon,9,positive,892863.0
384,Oregon,10,positive,1196417.0
385,Oregon,11,positive,1721271.0
386,Oregon,12,positive,474188.0
387,Pennsylvania,3,positive,231980.0
388,Pennsylvania,4,positive,760690.0
389,Pennsylvania,5,positive,1856612.0
390,Pennsylvania,6,positive,2373219.0
391,Pennsylvania,7,positive,3040433.0
392,Pennsylvania,8,positive,3816543.0
393,Pennsylvania,9,positive,4374685.0
394,Pennsylvania,10,positive,5548871.0
395,Pennsylvania,11,positive,8086506.0
396,Pennsylvania,12,positive,2300956.0
397,Rhode Island,3,positive,257735.0
398,Rhode Island,4,positive,122368.0
399,Rhode Island,5,positive,384109.0
400,Rhode Island,6,positive,482363.0
401,Rhode Island,7,positive,548488.0
402,Rhode Island,8,positive,633464.0
403,Rhode Island,9,positive,697873.0
404,Rhode Island,10,positive,867006.0
405,Rhode Island,11,positive,1304922.0
406,Rhode Island,12,positive,358630.0
407,South Carolina,3,positive,1254183.0
408,South Carolina,4,positive,106727.0
409,South Carolina,5,positive,262763.0
410,South Carolina,6,positive,611936.0
411,South Carolina,7,positive,1925613.0
412,South Carolina,8,positive,3248590.0
413,South Carolina,9,positive,3988252.0
414,South Carolina,10,positive,4998793.0
415,South Carolina,11,positive,5856901.0
416,South Carolina,12,positive,1335545.0
417,South Dakota,3,positive,55591.0
418,South Dakota,4,positive,33888.0
419,South Dakota,5,positive,116448.0
420,South Dakota,6,positive,176189.0
421,South Dakota,7,positive,238095.0
422,South Dakota,8,positive,322248.0
423,South Dakota,9,positive,520231.0
424,South Dakota,10,positive,984074.0
425,South Dakota,11,positive,1904522.0
426,South Dakota,12,positive,496629.0
427,Tennessee,3,positive,95085.0
428,Tennessee,4,positive,182861.0
429,Tennessee,5,positive,526741.0
430,Tennessee,6,positive,939803.0
431,Tennessee,7,positive,2194826.0
432,Tennessee,8,positive,4056144.0
433,Tennessee,9,positive,5249660.0
434,Tennessee,10,positive,6960189.0
435,Tennessee,11,positive,9290218.0
436,Tennessee,12,positive,2317346.0
437,Texas,3,positive,274342.0
438,Texas,4,positive,450451.0
439,Texas,5,positive,1394463.0
440,Texas,6,positive,2902788.0
441,Texas,7,positive,8860439.0
442,Texas,8,positive,16248590.0
443,Texas,9,positive,20210796.0
444,Texas,10,positive,25244147.0
445,Texas,11,positive,30674029.0
446,Texas,12,positive,7237710.0
447,Utah,3,positive,221108.0
448,Utah,4,positive,78393.0
449,Utah,5,positive,216156.0
450,Utah,6,positive,448781.0
451,Utah,7,positive,966930.0
452,Utah,8,positive,1430608.0
453,Utah,9,positive,1808300.0
454,Utah,10,positive,2829102.0
455,Utah,11,positive,4580293.0
456,Utah,12,positive,1224321.0
457,Vermont,3,positive,1560.0
458,Vermont,4,positive,20692.0
459,Vermont,5,positive,28900.0
460,Vermont,6,positive,33306.0
461,Vermont,7,positive,40825.0
462,Vermont,8,positive,46648.0
463,Vermont,9,positive,50646.0
464,Vermont,10,positive,59892.0
465,Vermont,11,positive,91680.0
466,Vermont,12,positive,27474.0
467,Virginia,2,positive,0.0
468,Virginia,3,positive,5566.0
469,Virginia,4,positive,209291.0
470,Virginia,5,positive,896650.0
471,Virginia,6,positive,1626135.0
472,Virginia,7,positive,2303721.0
473,Virginia,8,positive,3259644.0
474,Virginia,9,positive,4042133.0
475,Virginia,10,positive,5052758.0
476,Virginia,11,positive,6139126.0
477,Virginia,12,positive,1463434.0
478,Washington,1,positive,0.0
479,Washington,2,positive,0.0
480,Washington,3,positive,64546.0
481,Washington,4,positive,341856.0
482,Washington,5,positive,592019.0
483,Washington,6,positive,852712.0
484,Washington,7,positive,1475233.0
485,Washington,8,positive,2100626.0
486,Washington,9,positive,2406410.0
487,Washington,10,positive,2971226.0
488,Washington,11,positive,3864304.0
489,Washington,12,positive,1012004.0
490,West Virginia,3,positive,201202.0
491,West Virginia,4,positive,20017.0
492,West Virginia,5,positive,46104.0
493,West Virginia,6,positive,70609.0
494,West Virginia,7,positive,141266.0
495,West Virginia,8,positive,258914.0
496,West Virginia,9,positive,388898.0
497,West Virginia,10,positive,600425.0
498,West Virginia,11,positive,1023578.0
499,West Virginia,12,positive,303334.0
500,Wisconsin,3,positive,8777.0
501,Wisconsin,4,positive,134267.0
502,Wisconsin,5,positive,423924.0
503,Wisconsin,6,positive,767357.0
504,Wisconsin,7,positive,1329224.0
505,Wisconsin,8,positive,2139731.0
506,Wisconsin,9,positive,2980500.0
507,Wisconsin,10,positive,5392881.0
508,Wisconsin,11,positive,9757567.0
509,Wisconsin,12,positive,2545684.0
510,Wyoming,3,positive,603.0
511,Wyoming,4,positive,10676.0
512,Wyoming,5,positive,22461.0
513,Wyoming,6,positive,33130.0
514,Wyoming,7,positive,62742.0
515,Wyoming,8,positive,101243.0
516,Wyoming,9,positive,137950.0
517,Wyoming,10,positive,271888.0
518,Wyoming,11,positive,678294.0
519,Wyoming,12,positive,208373.0
520,Alabama,3,negative,36150.0
