,date,City,positive,negative
685,2020-03-14,Florida,31.0,478.0
13760,2020-03-14,Connecticut,6.0,125.0
9355,2020-03-14,Pennsylvania,41.0,205.0
13210,2020-03-14,Utah,6.0,381.0
5477,2020-03-14,Illinois,32.0,316.0
1282,2020-03-14,Nebraska,13.0,80.0
3809,2020-03-14,California,202.0,916.0
4921,2020-03-14,Arizona,9.0,121.0
8251,2020-03-14,Nevada,22.0,168.0
13485,2020-03-14,Alabama,1.0,22.0
5199,2020-03-14,North Carolina,15.0,137.0
8527,2020-03-14,Delaware,4.0,36.0
9079,2020-03-14,Iowa,16.0,83.0
4643,2020-03-14,South Carolina,12.0,110.0
1566,2020-03-14,Indiana,12.0,74.0
11560,2020-03-14,North Dakota,1.0,54.0
11285,2020-03-14,Louisiana,36.0,109.0
11835,2020-03-14,Missouri,2.0,90.0
2131,2020-03-14,Rhode Island,19.0,310.0
11010,2020-03-14,South Dakota,9.0,182.0
10735,2020-03-14,West Virginia,0.0,26.0
12110,2020-03-14,Mississippi,4.0,84.0
10459,2020-03-14,Kentucky,11.0,139.0
986,2020-03-14,New Jersey,50.0,97.0
2693,2020-03-14,Michigan,1361.0,205.0
10183,2020-03-14,Kansas,6.0,93.0
7974,2020-03-14,Maryland,17.0,94.0
2973,2020-03-14,New York,353.0,3609.0
9907,2020-03-14,Minnesota,62.0,847.0
12385,2020-03-14,Maine,3.0,91.0
1850,2020-03-14,Virginia,30.0,117.0
14035,2020-03-14,Idaho,0.0,174.0
3252,2020-03-14,Vermont,2.0,218.0
3531,2020-03-14,Wisconsin,23.0,169.0
52,2020-03-14,Washington,1018.0,17142.0
12660,2020-03-14,Montana,1.0,103.0
7143,2020-03-14,District of Columbia,10.0,49.0
7697,2020-03-14,New Mexico,10.0,482.0
5755,2020-03-14,New Hampshire,6.0,212.0
6866,2020-03-14,Tennessee,26.0,130.0
6589,2020-03-14,Oregon,30.0,337.0
7420,2020-03-14,Ohio,13.0,50.0
4088,2020-03-15,Colorado,131.0,627.0
9632,2020-03-15,Arkansas,12.0,103.0
2132,2020-03-15,Rhode Island,19.0,364.0
9356,2020-03-15,Pennsylvania,47.0,205.0
3532,2020-03-15,Wisconsin,23.0,313.0
12661,2020-03-15,Montana,5.0,103.0
4644,2020-03-15,South Carolina,13.0,154.0
9080,2020-03-15,Iowa,17.0,83.0
13486,2020-03-15,Alabama,6.0,28.0
11561,2020-03-15,North Dakota,1.0,95.0
4922,2020-03-15,Arizona,12.0,121.0
12386,2020-03-15,Maine,3.0,91.0
6590,2020-03-15,Oregon,30.0,420.0
7421,2020-03-15,Ohio,13.0,139.0
11286,2020-03-15,Louisiana,51.0,156.0
13211,2020-03-15,Utah,6.0,657.0
3810,2020-03-15,California,252.0,916.0
2694,2020-03-15,Michigan,1728.0,205.0
5756,2020-03-15,New Hampshire,7.0,271.0
10460,2020-03-15,Kentucky,14.0,139.0
10184,2020-03-15,Kansas,6.0,135.0
1567,2020-03-15,Indiana,15.0,102.0
2974,2020-03-15,New York,517.0,4771.0
9908,2020-03-15,Minnesota,90.0,1387.0
11011,2020-03-15,South Dakota,9.0,327.0
6867,2020-03-15,Tennessee,32.0,157.0
10736,2020-03-15,West Virginia,0.0,38.0
3253,2020-03-15,Vermont,5.0,320.0
12936,2020-03-15,Oklahoma,4.0,118.0
53,2020-03-15,Washington,1174.0,18777.0
7144,2020-03-15,District of Columbia,10.0,79.0
373,2020-03-15,Massachusetts,38.0,584.0
14036,2020-03-15,Idaho,2.0,174.0
5200,2020-03-15,North Carolina,23.0,227.0
1283,2020-03-15,Nebraska,14.0,80.0
13761,2020-03-15,Connecticut,11.0,125.0
686,2020-03-15,Florida,51.0,678.0
11836,2020-03-15,Missouri,4.0,122.0
987,2020-03-15,New Jersey,50.0,120.0
7975,2020-03-15,Maryland,26.0,94.0
7698,2020-03-15,New Mexico,13.0,566.0
5478,2020-03-15,Illinois,46.0,449.0
8252,2020-03-15,Nevada,34.0,168.0
8528,2020-03-15,Delaware,6.0,36.0
1851,2020-03-15,Virginia,30.0,363.0
12111,2020-03-15,Mississippi,6.0,84.0
14037,2020-03-16,Idaho,5.0,265.0
12937,2020-03-16,Oklahoma,9.0,174.0
2695,2020-03-16,Michigan,2188.0,272.0
3254,2020-03-16,Vermont,8.0,392.0
7422,2020-03-16,Ohio,36.0,140.0
12112,2020-03-16,Mississippi,10.0,277.0
11287,2020-03-16,Louisiana,90.0,188.0
11012,2020-03-16,South Dakota,9.0,494.0
9357,2020-03-16,Pennsylvania,63.0,670.0
3533,2020-03-16,Wisconsin,37.0,504.0
10737,2020-03-16,West Virginia,0.0,80.0
6868,2020-03-16,Tennessee,39.0,270.0
1284,2020-03-16,Nebraska,17.0,170.0
5479,2020-03-16,Illinois,64.0,932.0
54,2020-03-16,Washington,1282.0,23473.0
9633,2020-03-16,Arkansas,16.0,132.0
2133,2020-03-16,Rhode Island,20.0,455.0
7145,2020-03-16,District of Columbia,16.0,96.0
374,2020-03-16,Massachusetts,64.0,1199.0
4089,2020-03-16,Colorado,131.0,1056.0
8253,2020-03-16,Nevada,45.0,168.0
3811,2020-03-16,California,293.0,7981.0
12662,2020-03-16,Montana,7.0,198.0
1852,2020-03-16,Virginia,45.0,438.0
988,2020-03-16,New Jersey,98.0,120.0
13212,2020-03-16,Utah,28.0,983.0
4645,2020-03-16,South Carolina,19.0,235.0
8529,2020-03-16,Delaware,6.0,36.0
10185,2020-03-16,Kansas,8.0,166.0
13762,2020-03-16,Connecticut,20.0,125.0
4923,2020-03-16,Arizona,12.0,125.0
11562,2020-03-16,North Dakota,1.0,123.0
1568,2020-03-16,Indiana,19.0,115.0
12387,2020-03-16,Maine,3.0,764.0
6591,2020-03-16,Oregon,36.0,579.0
10461,2020-03-16,Kentucky,16.0,234.0
7699,2020-03-16,New Mexico,17.0,1249.0
7976,2020-03-16,Maryland,31.0,94.0
9081,2020-03-16,Iowa,18.0,83.0
2975,2020-03-16,New York,648.0,6413.0
5757,2020-03-16,New Hampshire,13.0,271.0
11837,2020-03-16,Missouri,5.0,164.0
5201,2020-03-16,North Carolina,32.0,296.0
9909,2020-03-16,Minnesota,128.0,1839.0
687,2020-03-16,Florida,91.0,684.0
13487,2020-03-16,Alabama,12.0,28.0
375,2020-03-17,Massachusetts,97.0,1633.0
7977,2020-03-17,Maryland,37.0,94.0
7146,2020-03-17,District of Columbia,17.0,104.0
3812,2020-03-17,California,335.0,7981.0
1569,2020-03-17,Indiana,24.0,129.0
12663,2020-03-17,Montana,7.0,303.0
3534,2020-03-17,Wisconsin,56.0,1038.0
55,2020-03-17,Washington,1582.0,28024.0
9910,2020-03-17,Minnesota,179.0,2276.0
5758,2020-03-17,New Hampshire,13.0,355.0
1853,2020-03-17,Virginia,51.0,961.0
2976,2020-03-17,New York,942.0,8888.0
3255,2020-03-17,Vermont,12.0,473.0
688,2020-03-17,Florida,122.0,940.0
10462,2020-03-17,Kentucky,21.0,295.0
12113,2020-03-17,Mississippi,12.0,368.0
12938,2020-03-17,Oklahoma,10.0,247.0
2415,2020-03-17,Wyoming,3.0,95.0
989,2020-03-17,New Jersey,178.0,163.0
10738,2020-03-17,West Virginia,0.0,80.0
10186,2020-03-17,Kansas,11.0,382.0
14038,2020-03-17,Idaho,5.0,346.0
6869,2020-03-17,Tennessee,52.0,330.0
5202,2020-03-17,North Carolina,33.0,474.0
13763,2020-03-17,Connecticut,26.0,125.0
11013,2020-03-17,South Dakota,10.0,551.0
9082,2020-03-17,Iowa,22.0,83.0
13213,2020-03-17,Utah,39.0,1425.0
7423,2020-03-17,Ohio,50.0,140.0
4646,2020-03-17,South Carolina,28.0,311.0
4368,2020-03-17,Texas,57.0,1204.0
8254,2020-03-17,Nevada,63.0,168.0
7700,2020-03-17,New Mexico,23.0,2326.0
9358,2020-03-17,Pennsylvania,76.0,879.0
12388,2020-03-17,Maine,17.0,1303.0
11288,2020-03-17,Louisiana,115.0,286.0
1285,2020-03-17,Nebraska,18.0,206.0
5480,2020-03-17,Illinois,93.0,1340.0
6592,2020-03-17,Oregon,39.0,689.0
2696,2020-03-17,Michigan,2895.0,879.0
13488,2020-03-17,Alabama,28.0,28.0
8530,2020-03-17,Delaware,8.0,36.0
9634,2020-03-17,Arkansas,22.0,197.0
11563,2020-03-17,North Dakota,1.0,220.0
11838,2020-03-17,Missouri,6.0,207.0
4090,2020-03-17,Colorado,160.0,1617.0
2134,2020-03-17,Rhode Island,22.0,608.0
