,month,state,City,POPESTIMATE2020,positive,negative
122,December,MD,Maryland,6055802.0,1229834.0,13133008.0
123,December,ME,Maine,1350141.0,74466.0,5341644.0
124,December,MI,Michigan,9966555.0,2444968.0,38658084.0
125,December,MN,Minnesota,5657342.0,1986432.0,13562535.0
126,December,MO,Missouri,6151548.0,1849034.0,9174372.0
127,December,MS,Mississippi,2966786.0,948559.0,5894370.0
128,December,MT,Montana,1080577.0,388370.0,3645569.0
129,December,NC,North Carolina,10600823.0,2251818.0,30515621.0
130,December,ND,North Dakota,765309.0,484600.0,1637031.0
131,December,NE,Nebraska,1937552.0,788632.0,3735355.0
132,December,NH,New Hampshire,1366275.0,135845.0,2455374.0
133,December,NJ,New Jersey,8882371.0,2095067.0,35025841.0
134,December,NM,New Mexico,2106319.0,612130.0,9057048.0
135,December,NV,Nevada,3138259.0,951626.0,5051112.0
136,December,NY,New York,19336776.0,4023065.0,116371166.0
137,December,OH,Ohio,11693217.0,2660328.0,35198991.0
138,December,OK,Oklahoma,3980783.0,1225736.0,11822074.0
139,December,OR,Oregon,4241507.0,474188.0,11850370.0
140,December,PA,Pennsylvania,12783254.0,2300956.0,17295623.0
141,December,RI,Rhode Island,1057125.0,358630.0,2883228.0
142,December,SC,South Carolina,5218040.0,1335545.0,13455881.0
143,December,SD,South Dakota,892717.0,496629.0,1510490.0
144,December,TN,Tennessee,6886834.0,2317346.0,25486758.0
145,December,TX,Texas,29360759.0,7237710.0,59216038.0
146,December,UT,Utah,3249879.0,1224321.0,6968619.0
147,December,VA,Virginia,8590563.0,1463434.0,19063949.0
148,December,VT,Vermont,623347.0,27474.0,1346395.0
149,December,WA,Washington,7693612.0,1012004.0,16916336.0
150,December,WI,Wisconsin,5832655.0,2545684.0,13054987.0
151,December,WV,West Virginia,1784787.0,303334.0,6797108.0
152,December,WY,Wyoming,582328.0,208373.0,859937.0
153,February,FL,Florida,21733312.0,0.0,0.0
154,February,IN,Indiana,6754953.0,0.0,0.0
155,February,MA,Massachusetts,6893574.0,0.0,0.0
156,February,NE,Nebraska,1937552.0,0.0,0.0
157,February,NJ,New Jersey,8882371.0,0.0,0.0
158,February,VA,Virginia,8590563.0,0.0,0.0
159,February,WA,Washington,7693612.0,0.0,24.0
160,January,FL,Florida,21733312.0,256844.0,0.0
161,January,MA,Massachusetts,6893574.0,0.0,0.0
162,January,WA,Washington,7693612.0,0.0,0.0
163,July,AK,Alaska,731158.0,53702.0,5063238.0
164,July,AL,Alabama,4921532.0,1868658.0,15167614.0
165,July,AR,Arkansas,3030522.0,946094.0,11656682.0
166,July,AZ,Arizona,7421401.0,4008248.0,18919434.0
167,July,CA,California,39368078.0,10901396.0,173358760.0
168,July,CO,Colorado,5807719.0,1199607.0,12032199.0
169,July,CT,Connecticut,3557006.0,1480379.0,17932389.0
170,July,DC,District of Columbia,712816.0,343637.0,4004584.0
171,July,DE,Delaware,986809.0,406779.0,4139079.0
172,July,FL,Florida,21733312.0,9275189.0,77199955.0
173,July,GA,Georgia,10710017.0,4009572.0,32822199.0
174,July,HI,Hawaii,1407006.0,39689.0,3045243.0
175,July,IA,Iowa,3163561.0,1130635.0,11068350.0
176,July,ID,Idaho,1826913.0,379886.0,3825666.0
177,July,IL,Illinois,12587530.0,4935707.0,61406411.0
178,July,IN,Indiana,6754953.0,1682108.0,17110716.0
179,July,KS,Kansas,2913805.0,641215.0,6764953.0
180,July,KY,Kentucky,4477251.0,664049.0,14025085.0
181,July,LA,Louisiana,4645318.0,2634961.0,29158727.0
182,July,MA,Massachusetts,6893574.0,3489987.0,27772851.0
183,July,MD,Maryland,6055802.0,2353771.0,19550805.0
184,July,ME,Maine,1350141.0,111375.0,3970814.0
185,July,MI,Michigan,9966555.0,2458725.0,41368270.0
186,July,MN,Minnesota,5657342.0,1369305.0,23606845.0
187,July,MO,Missouri,6151548.0,976581.0,15410450.0
188,July,MS,Mississippi,2966786.0,1246678.0,10103335.0
189,July,MT,Montana,1080577.0,67549.0,3911573.0
190,July,NC,North Carolina,10600823.0,2844078.0,38238390.0
191,July,ND,North Dakota,765309.0,146492.0,3866562.0
192,July,NE,Nebraska,1937552.0,677299.0,6232664.0
193,July,NH,New Hampshire,1366275.0,189549.0,4117838.0
194,July,NJ,New Jersey,8882371.0,5458305.0,48706482.0
195,July,NM,New Mexico,2106319.0,495682.0,13416601.0
196,July,NV,Nevada,3138259.0,982132.0,10553881.0
197,July,NY,New York,19336776.0,12522993.0,140135533.0
198,July,OH,Ohio,11693217.0,2164746.0,31937310.0
